id,content,doi,patent_link,title,journal,document_type,pubmed_id,year,month,day,volume,issue,first_page,last_page
124,"Sauvé, V., Stefan, E., Croteau, N., Goiran, T., Fakih, R., Bansal, N., Hadzipasic, A., Fang, J., Murugan, P., Chen, S., et al. (2024). Activation of parkin by a molecular glue. Nature Communications, 15(1), 7707.",10.1038/s41467-024-51889-3,,Activation of parkin by a molecular glue.,Nature Communications,Scientific Literature,39300082,2024,9,19,15,1,7707,
125,"Ma, H., Liu, C., Li, Z., Yu, Q., Xiong, H., Huang, C., Tan, L., Zhan, M., Zhang, Z., & Cai, Q. (2025). Discovery of the first examples of right open reading frame kinase 2 (RIOK2) molecular glue degraders. European Journal of Medicinal Chemistry, 283, 117166.",10.1016/j.ejmech.2024.117166,,Discovery of the first examples of right open reading frame kinase 2 (RIOK2) molecular glue degraders.,European Journal of Medicinal Chemistry,Scientific Literature,39721086,2025,2,5,283,,117166,
126,"Schulze, C. J., Seamon, K. J., Zhao, Y., Yang, Y. C., Cregg, J., Kim, D., Tomlinson, A., Choy, T. J., Wang, Z., Sang, B., et al. (2023). Chemical remodeling of a cellular chaperone to target the active state of mutant KRAS. Science, 381(6659), 794–799.",10.1126/science.adg9652,,Chemical remodeling of a cellular chaperone to target the active state of mutant KRAS.,Science,Scientific Literature,37590355,2023,8,18,381,6659,794,799
127,"Lim, M., Cong, T. D., Orr, L. M., Toriki, E. S., Kile, A. C., Papatzimas, J. W., Lee, E., Lin, Y., & Nomura, D. K. (2024). DCAF16-based covalent handle for the rational design of monovalent degraders. ACS Central Science, 10(7), 1318–1331.",10.1021/acscentsci.4c00286,,DCAF16-based covalent handle for the rational design of monovalent degraders.,ACS Central Science,Scientific Literature,39071058,2024,5,17,10,7,1318,1331
128,"Shergalis, A. G., Marin, V. L., Rhee, D. Y., Senaweera, S., McCloud, R. L., Ronau, J. A., Hutchins, C. W., McLoughlin, S., Woller, K. R., Warder, S. E., et al. (2023). CRISPR screen reveals BRD2/4 molecular glue-like degrader via recruitment of DCAF16. ACS Chemical Biology, 18(2), 331–339.",10.1021/acschembio.2c00747,,CRISPR screen reveals BRD2/4 molecular glue-like degrader via recruitment of DCAF16.,ACS Chemical Biology,Scientific Literature,36656921,2023,2,17,18,2,331,339
129,"Wolter, M., Valenti, D., Cossar, P. J., Levy, L. M., Hristeva, S., Genski, T., Hoffmann, T., Brunsveld, L., Tzalis, D., & Ottmann, C. (2020). Fragment-based stabilizers of protein-protein interactions through imine-based tethering. Angewandte Chemie International Edition, 59(48), 21520–21524.",10.1002/anie.202008585,,Fragment-based stabilizers of protein-protein interactions through imine-based tethering.,Angewandte Chemie International Edition,Scientific Literature,32816380,2020,11,23,59,48,21520,21524
130,"Sijbesma, E., Hallenbeck, K. K., Leysen, S., de Vink, P. J., Skóra, L., Jahnke, W., Brunsveld, L., Arkin, M. R., & Ottmann, C. (2019). Site-directed fragment-based screening for the discovery of protein-protein interaction stabilizers. Journal of the American Chemical Society, 141(8), 3524–3531.",10.1021/jacs.8b11658,,Site-directed fragment-based screening for the discovery of protein-protein interaction stabilizers.,Journal of the American Chemical Society,Scientific Literature,30707565,2019,2,27,141,8,3524,3531
131,"Somsen, B. A., Schellekens, R. J. C., Verhoef, C. J. A., Arkin, M. R., Ottmann, C., Cossar, P. J., & Brunsveld, L. (2023). Reversible dual-covalent molecular locking of the 14-3-3/ERRγ protein-protein interaction as a molecular glue drug discovery approach. Journal of the American Chemical Society, 145(12), 6741–6752.",10.1021/jacs.2c12781,,Reversible dual-covalent molecular locking of the 14-3-3/ERRγ protein-protein interaction as a molecular glue drug discovery approach.,Journal of the American Chemical Society,Scientific Literature,36926879,2023,3,29,145,12,6741,6752
132,"Ting, P. Y., Borikar, S., Kerrigan, J. R., Thomsen, N. M., Aghania, E., Hinman, A. E., Reyes, A., Pizzato, N., Fodor, B. D., Wu, F., et al. (2024). A molecular glue degrader of the WIZ transcription factor for fetal hemoglobin induction. Science, 385(6704), 91–99.",10.1126/science.adk6129,,A molecular glue degrader of the WIZ transcription factor for fetal hemoglobin induction.,Science,Scientific Literature,38963839,2024,7,5,385,6704,91,99
133,"Huang, Z., Zhang, K., Jiang, Y., Wang, M., Li, M., Guo, Y., Gao, R., Li, N., Wang, C., Chen, J., et al. (2024). Molecular glue triggers degradation of PHGDH by enhancing the interaction between DDB1 and PHGDH. Acta Pharmaceutica Sinica B, 14(9), 4001–4013.",10.1016/j.apsb.2024.06.001,,Molecular glue triggers degradation of PHGDH by enhancing the interaction between DDB1 and PHGDH.,Acta Pharmaceutica Sinica B,Scientific Literature,39309493,2024,9,,14,9,4001,4013
134,"Ng, A., Offensperger, F., Cisneros, J. A., Scholes, N. S., Malik, M., Villanti, L., Rukavina, A., Ferrada, E., Hannich, J. T., Koren, A., et al. (2023). Discovery of molecular glue degraders via isogenic morphological profiling. ACS Chemical Biology, 18(12), 2464–2473.",10.1021/acschembio.3c00598,,Discovery of molecular glue degraders via isogenic morphological profiling.,ACS Chemical Biology,Scientific Literature,38098458,2023,12,15,18,12,2464,2473
135,"Mercer, J. A. M., DeCarlo, S. J., Roy Burman, S. S., Sreekanth, V., Nelson, A. T., Hunkeler, M., Chen, P. J., Donovan, K. A., Kokkonda, P., Tiwari, P. K., et al. (2024). Continuous evolution of compact protein degradation tags regulated by selective molecular glues. Science, 383(6688), eadk4422.",10.1126/science.adk4422,,Continuous evolution of compact protein degradation tags regulated by selective molecular glues.,Science,Scientific Literature,38484051,2024,3,15,383,6688,eadk4422,
136,"Ryan, M. B., Quade, B., Schenk, N., Fang, Z., Zingg, M., Cohen, S. E., Swalm, B. M., Li, C., Özen, A., Ye, C., et al. (2024). The pan-RAF-MEK nondegrading molecular glue NST-628 is a potent and brain-penetrant inhibitor of the RAS-MAPK pathway with activity across diverse RAS- and RAF-driven cancers. Cancer Discovery, 14(7), 1190–1205.",10.1158/2159-8290.CD-24-0139,,The pan-RAF-MEK nondegrading molecular glue NST-628 is a potent and brain-penetrant inhibitor of the RAS-MAPK pathway with activity across diverse RAS- and RAF-driven cancers.,Cancer Discovery,Scientific Literature,38588399,2024,7,1,14,7,1190,1205
137,"Scemama de Gialluly, M. A., Allen, A. R., Hayes, E. H., Zhuang, P., Goldfarb, R. B., Farrar, A. N., Fedorov, Y., & Adams, D. J. (2024). PRLX-93936 and BMS-214662 are cytotoxic molecular glues that leverage TRIM21 to degrade nucleoporins. bioRxiv.",10.1101/2024.12.18.629219,,PRLX-93936 and BMS-214662 are cytotoxic molecular glues that leverage TRIM21 to degrade nucleoporins.,bioRxiv,preprint,,2024,12,21,,,,
138,"Hagner, P. R., Man, H. W., Fontanillo, C., Wang, M., Couto, S., Breider, M., Bjorklund, C., Havens, C. G., Lu, G., Rychak, E., et al. (2015). CC-122, a pleiotropic pathway modifier, mimics an interferon response and has antitumor activity in DLBCL. Blood, 126(6), 779–789.",10.1182/blood-2015-02-628669,,"CC-122, a pleiotropic pathway modifier, mimics an interferon response and has antitumor activity in DLBCL.",Blood,Scientific Literature,26002965,2015,8,6,126,6,779,789
139,"Renneville, A., Gasser, J. A., Grinshpun, D. E., Jean Beltran, P. M., Udeshi, N. D., Matyskiela, M. E., Clayton, T., McConkey, M., Viswanathan, K., Tepper, A., et al. (2021). Avadomide induces degradation of ZMYM2 fusion oncoproteins in hematologic malignancies. Blood Cancer Discovery, 2(3), 250–265.",10.1158/2643-3230.BCD-20-0105,,Avadomide induces degradation of ZMYM2 fusion oncoproteins in hematologic malignancies.,Blood Cancer Discovery,Scientific Literature,34027417,2021,5,,2,3,250,265
140,"Gavory, G., Ghandi, M., d’Alessandro, A. C., Bonenfant, D., Cabanski, M., Cantagallo, L., Chicas, A., Chen, Q., Diesslin, A., King, C., et al. (2023). Development of MRT-2359, an orally bioavailable GSPT1 molecular glue degrader, for the treatment of lung cancers with MYC-induced translational addiction. Cancer Research, 83(7 Suppl), 3449.",10.1158/1538-7445.AM2023-3449,,"Development of MRT-2359, an orally bioavailable GSPT1 molecular glue degrader, for the treatment of lung cancers with MYC-induced translational addiction.",Cancer Research,Scientific Literature,,2023,4,1,83,7 Suppl,3449,
141,"Teng, M., Lu, W., Donovan, K. A., Sun, J., Krupnick, N. M., Nowak, R. P., Li, Y. D., Sperling, A. S., Zhang, T., Ebert, B. L., et al. (2022). Development of PDE6D and CK1α degraders through chemical derivatization of FPFT-2216. Journal of Medicinal Chemistry, 65(1), 747–756.",10.1021/acs.jmedchem.1c01832,,Development of PDE6D and CK1α degraders through chemical derivatization of FPFT-2216.,Journal of Medicinal Chemistry,Scientific Literature,34965125,2022,1,13,65,1,747,756
142,"Baek, K., Metivier, R. J., Roy Burman, S. S., Bushman, J. W., Yoon, H., Lumpkin, R. J., Abeja, D. M., Lakshminarayan, M., Yue, H., Ojeda, S., et al. (2024). Unveiling the hidden interactome of CRBN molecular glues with chemoproteomics. bioRxiv.",10.1101/2024.09.11.612438,,Unveiling the hidden interactome of CRBN molecular glues with chemoproteomics.,bioRxiv,preprint,,2024,9,15,,,,
143,"Powell, C. E., Du, G., Che, J., He, Z., Donovan, K. A., Yue, H., Wang, E. S., Nowak, R. P., Zhang, T., Fischer, E. S., & Gray, N. S. (2020). Selective degradation of GSPT1 by cereblon modulators identified via a focused combinatorial library. ACS Chemical Biology, 15(10), 2722–2730.",10.1021/acschembio.0c00520,,Selective degradation of GSPT1 by cereblon modulators identified via a focused combinatorial library.,ACS Chemical Biology,Scientific Literature,32865967,2020,10,16,15,10,2722,2730
144,"Uehara, T., Minoshima, Y., Sagane, K., Sugi, N. H., Mitsuhashi, K. O., Yamamoto, N., Kamiyama, H., Takahashi, K., Kotake, Y., Uesugi, M., et al. (2017). Selective degradation of splicing factor CAPERα by anticancer sulfonamides. Nature Chemical Biology, 13(6), 675–680.",10.1038/nchembio.2363,,Selective degradation of splicing factor CAPERα by anticancer sulfonamides.,Nature Chemical Biology,Scientific Literature,28437394,2017,6,,13,6,675,680
145,"Carrancio, S., Groocock, L., Janardhanan, P., Jankeel, D., Galasso, R., Guarinos, C., Narla, R. K., Groza, M., Leisten, J., Pierce, D. W., et al. (2021). CC-99282 is a novel cereblon (CRBN) E3 ligase modulator (CELMoD) agent with enhanced tumoricidal activity in preclinical models of lymphoma. Blood, 138(1 Suppl), 1200.",10.1182/blood-2021-148068,,CC-99282 is a novel cereblon (CRBN) E3 ligase modulator (CELMoD) agent with enhanced tumoricidal activity in preclinical models of lymphoma.,Blood,Scientific Literature,,2021,11,5,138,1 Suppl,1200,
146,"Perino, S., Class, B., Henderson, C., Isasa, M., Kirby, R. J., Agafonov, R. V., Chaturvedi, P., Eron, S. J., Good, A., Hart, A. A., et al. (2021). CFT7455: a novel, IKZF1/3 degrader that demonstrates potent tumor regression in a spectrum of NHL xenograft models. Hematological Oncology, 39(S2), 316-317.",10.1002/hon.145_2880,,"CFT7455: a novel, IKZF1/3 degrader that demonstrates potent tumor regression in a spectrum of NHL xenograft models.",Hematological Oncology,Scientific Literature,,2021,6,17,39,S2,316,317
147,"Qi, X., Han, T., Chen, P., Lv, L., Li, Y., Cao, L., Ww, Q., & Li, J. (2021). A molecular glue regulating CDK12-DDB1 interaction to trigger cyclin K degradation. WIPO (PCT). WO2021249517A11.",,https://patentimages.storage.googleapis.com/15/61/ca/dfac5f42c4a3b1/WO2021249517A1.pdf,A molecular glue regulating CDK12-DDB1 interaction to trigger cyclin K degradation.,,Patent,,2021,12,16,,,,
148,"Yang, J., Li, Y., Aguilar, A., Liu, Z., Yang, C. Y., & Wang, S. (2019). Simple structural modifications converting a bona fide MDM2 PROTAC degrader into a molecular glue molecule: a cautionary tale in the design of PROTAC degraders. Journal of Medicinal Chemistry, 62(21), 9471–9487.",10.1021/acs.jmedchem.9b00846,,Simple structural modifications converting a bona fide MDM2 PROTAC degrader into a molecular glue molecule: a cautionary tale in the design of PROTAC degraders.,Journal of Medicinal Chemistry,Scientific Literature,31560543,2019,11,14,62,21,9471,9487
149,"Mayor-Ruiz, C., Bauer, S., Brand, M., Kozicka, Z., Siklos, M., Imrichova, H., Kaltheuner, I. H., Hahn, E., Seiler, K., Koren, A., et al. (2020). Rational discovery of molecular glue degraders via scalable chemical profiling. Nature Chemical Biology, 16(11), 1199–1207.",10.1038/s41589-020-0594-x,,Rational discovery of molecular glue degraders via scalable chemical profiling.,Nature Chemical Biology,Scientific Literature,32747809,2020,11,,16,11,1199,1207
150,"Dieter, S. M., Siegl, C., Codó, P. L., Huerta, M., Ostermann-Parucha, A. L., Schulz, E., Zowada, M. K., Martin, S., Laaber, K., Nowrouzi, A., et al. (2021). Degradation of CCNK/CDK12 is a druggable vulnerability of colorectal cancer. Cell Reports, 36(3), 109394.",10.1016/j.celrep.2021.109394,,Degradation of CCNK/CDK12 is a druggable vulnerability of colorectal cancer.,Cell Reports,Scientific Literature,34289372,2021,7,20,36,3,109394,
151,"Kashkush, A., Furth-Lavi, J., Hodon, J., & Benhamou, R. I. (2025). PROTAC and molecular glue degraders of the oncogenic RNA binding protein Lin28. Macromolecular Bioscience, 25(3), e2400427.",10.1002/mabi.202400427,,PROTAC and molecular glue degraders of the oncogenic RNA binding protein Lin28.,Macromolecular Bioscience,Scientific Literature,39575661,2025,3,,25,3,e2400427,
152,"Lee, M., Byun, W. G., Son, S., & Park, S. B. (2024). Development of a molecular glue-based Lin28 degrader to regulate cellular proliferation and stemness. Chemical Communications, 60(86), 12525–12528.",10.1039/d4cc03614j,,Development of a molecular glue-based Lin28 degrader to regulate cellular proliferation and stemness.,Chemical Communications,Scientific Literature,39324213,2024,10,24,60,86,12525,12528
153,"Schäfer, S. C., Voll, A. M., Bracher, A., Ley, S. V., & Hausch, F. (2024). Antascomicin B stabilizes FKBP51-Akt1 complexes as a molecular glue. Bioorganic & Medicinal Chemistry Letters, 104, 129728.",10.1016/j.bmcl.2024.129728,,Antascomicin B stabilizes FKBP51-Akt1 complexes as a molecular glue.,Bioorganic & Medicinal Chemistry Letters,Scientific Literature,38582133,2024,5,15,104,,129728,
154,"Yeo, M. J., Zhang, O., Xie, X., Nam, E., Payne, N. C., Gosavi, P. M., Kwok, H. S., Iram, I., Lee, C., Li, J., et al. (2025). UM171 glues asymmetric CRL3-HDAC1/2 assembly to degrade CoREST corepressors. Nature, 639(8053), 232-240.",10.1038/s41586-024-08532-4,,UM171 glues asymmetric CRL3-HDAC1/2 assembly to degrade CoREST corepressors.,Nature,Scientific Literature,39939761,2025,3,,639,8053,232,240
155,"Nowak, R. P., Che, J., Ferrao, S., Kong, N. R., Liu, H., Zerfas, B. L., & Jones, L. H. (2023). Structural rationalization of GSPT1 and IKZF1 degradation by thalidomide molecular glue derivatives. RSC Medicinal Chemistry, 14(3), 501–506.",10.1039/d2md00347c,,Structural rationalization of GSPT1 and IKZF1 degradation by thalidomide molecular glue derivatives.,RSC Medicinal Chemistry,Scientific Literature,36970148,2023,1,26,14,3,501,506
156,"Shao, Q., Duong, T. N., Park, I., & Nomura, D. K. (2023). Covalent 14-3-3 molecular glues and heterobifunctional molecules against nuclear transcription factors and regulators. bioRxiv : the preprint server for biology, 2023.11.06.565850.",10.1101/2023.11.06.565850,,Covalent 14-3-3 molecular glues and heterobifunctional molecules against nuclear transcription factors and regulators.,bioRxiv,preprint,37986959,2023,11,6,,,,
157,"Nishiguchi, G., Caine, E. A., McGowan, K., Shi, Z., Aggarwal, A., Mayasundari, A., Price, J., Yang, L., Li, Y., Fu, X., et al. (2024). Structure-activity relationship of potent, selective, and orally bioavailable molecular glue degraders of CK1α. ACS Medicinal Chemistry Letters, 15(10), 1692–1698.",10.1021/acsmedchemlett.4c00250,,"Structure-activity relationship of potent, selective, and orally bioavailable molecular glue degraders of CK1α.",ACS Medicinal Chemistry Letters,Scientific Literature,39411539,2024,9,12,15,10,1692,1698
158,"Li, J., Li, C., Zhang, Z., Zhang, Z., Wu, Z., Liao, J., Wang, Z., McReynolds, M., Xie, H., Guo, L., et al. (2023). A platform for the rapid synthesis of molecular glues (Rapid-Glue) under miniaturized conditions for direct biological screening. European Journal of Medicinal Chemistry, 258, 115567.",10.1016/j.ejmech.2023.115567,,A platform for the rapid synthesis of molecular glues (Rapid-Glue) under miniaturized conditions for direct biological screening.,European Journal of Medicinal Chemistry,Scientific Literature,37390512,2023,10,5,258,,115567,
159,"Zhong, C., Zhu, R., Jiang, T., Tian, S., Zhao, X., Wan, X., Jiang, S., Chen, Z., Gong, R., He, L., et al. (2024). Design and characterization of a novel eEF2K degrader with potent therapeutic efficacy against triple-negative breast cancer. Advanced Science, 11(5), e2305035.",10.1002/advs.202305035,,Design and characterization of a novel eEF2K degrader with potent therapeutic efficacy against triple-negative breast cancer.,Advanced Science,Scientific Literature,38084501,2024,2,,11,5,e2305035,
160,"Carter, T. R., Milosevich, N., Dada, L., Shaum, J. B., Barry Sharpless, K., Kitamura, S., & Erb, M. A. (2024). SuFEx-based chemical diversification for the systematic discovery of CRBN molecular glues. Bioorganic & Medicinal Chemistry, 104, 117699.",10.1016/j.bmc.2024.117699,,SuFEx-based chemical diversification for the systematic discovery of CRBN molecular glues.,Bioorganic & Medicinal Chemistry,Scientific Literature,38608634,2024,4,15,104,,117699,
161,"Kerrigan, J. R., Thomsen, N. M., Cernijenko, A., Kochanek, S. E., Dewhurst, J., O'Brien, G., Ware, N. F., Sanchez, C. C., Manning, J. R., Ma, X., et al. (2024). Discovery and optimization of first-in-class molecular glue degraders of the WIZ transcription factor for fetal hemoglobin induction to treat sickle cell disease. Journal of Medicinal Chemistry, 67(22), 20682–20694.",10.1021/acs.jmedchem.4c02251,,Discovery and optimization of first-in-class molecular glue degraders of the WIZ transcription factor for fetal hemoglobin induction to treat sickle cell disease.,Journal of Medicinal Chemistry,Scientific Literature,39541509,2024,11,28,67,22,20682,20694
162,"Matyskiela, M. E., Zhu, J., Baughman, J. M., Clayton, T., Slade, M., Wong, H. K., Danga, K., Zheng, X., Labow, M., LeBrun, L., et al. (2020). Cereblon modulators target ZBTB16 and its oncogenic fusion partners for degradation via distinct structural degrons. ACS Chemical Biology, 15(12), 3149–3158.",10.1021/acschembio.0c00674,,Cereblon modulators target ZBTB16 and its oncogenic fusion partners for degradation via distinct structural degrons.,ACS Chemical Biology,Scientific Literature,33206504,2020,12,18,15,12,3149,3158
163,"Wang, B., Liu, J., Tandon, I., Wu, S., Teng, P., Liao, J., & Tang, W. (2021). Development of MDM2 degraders based on ligands derived from Ugi reactions: Lessons and discoveries. European Journal of Medicinal Chemistry, 219, 113425.",10.1016/j.ejmech.2021.113425,,Development of MDM2 degraders based on ligands derived from Ugi reactions: Lessons and discoveries.,European Journal of Medicinal Chemistry,Scientific Literature,33862513,2021,7,5,219,,113425,
164,"Kim, S. A., Go, A., Jo, S. H., Park, S. J., Jeon, Y. U., Kim, J. E., Lee, H. K., Park, C. H., Lee, C. O., Park, S. G., et al. (2019). A novel cereblon modulator for targeted protein degradation. European Journal of Medicinal Chemistry, 166, 65–74.",10.1016/j.ejmech.2019.01.023,,A novel cereblon modulator for targeted protein degradation.,European Journal of Medicinal Chemistry,Scientific Literature,30684871,2019,3,15,166,,65,74
165,"Takwale, A. D., Kim, E. Y., Jang, Y., Lee, D. H., Kim, S., Choi, Y., Kim, J. H., Lee, D. Y., Kim, Y., Lee, S. M., et al. (2022). Structure-activity relationship analysis of novel GSPT1 degraders based on benzotriazinone scaffold and its antitumor effect on xenograft mouse model. Bioorganic Chemistry, 127, 105923.",10.1016/j.bioorg.2022.105923,,Structure-activity relationship analysis of novel GSPT1 degraders based on benzotriazinone scaffold and its antitumor effect on xenograft mouse model.,Bioorganic Chemistry,Scientific Literature,35717803,2022,10,,127,,105923,
166,"Katz, L. S., Visser, E. J., Plitzko, K. F., Pennings, M. A. M., Cossar, P. J., Tse, I. L., Kaiser, M., Brunsveld, L., Ottmann, C., & Scott, D. K. (2025). Molecular glues of the regulatory ChREBP/14-3-3 complex protect beta cells from glucolipotoxicity. Nature Communications, 16(1), 2110.",10.1038/s41467-025-57241-7,,Molecular glues of the regulatory ChREBP/14-3-3 complex protect beta cells from glucolipotoxicity.,Nature Communications,Scientific Literature,40025013,2025,3,2,16,1,2110,
167,"Huber, A. D., Li, Y., Lin, W., Galbraith, A. N., Mishra, A., Porter, S. N., Wu, J., Florke Gee, R. R., Zhuang, W., Pruett-Miller, et al. (2022). SJPYT-195: a designed nuclear receptor degrader that functions as a molecular glue degrader of GSPT1. ACS Medicinal Chemistry Letters, 13(8), 1311–1320.",10.1021/acsmedchemlett.2c00223,,SJPYT-195: a designed nuclear receptor degrader that functions as a molecular glue degrader of GSPT1.,ACS Medicinal Chemistry Letters,Scientific Literature,35978691,2022,7,15,13,8,1311,1320
168,"Tang, C., Mo, X., Niu, Q., Wahafu, A., Yang, X., Qui, M., Ivanov, A. A., Du, Y., & Fu, H. (2021). Hypomorph mutation-directed small-molecule protein-protein interaction inducers to restore mutant SMAD4-suppressed TGF-β signaling. Cell Chemical Biology, 28(5), 636–647.e5.",10.1016/j.chembiol.2020.11.010,,Hypomorph mutation-directed small-molecule protein-protein interaction inducers to restore mutant SMAD4-suppressed TGF-β signaling.,Cell Chemical Biology,Scientific Literature,33326750,2021,5,20,28,5,636,647.e5
169,"Hill, Z. B., Martinko, A. J., Nguyen, D. P., & Wells, J. A. (2018). Human antibody-based chemically induced dimerizers for cell therapeutic applications. Nature Chemical Biology, 14(2), 112–117.",10.1038/nchembio.2529,,Human antibody-based chemically induced dimerizers for cell therapeutic applications.,Nature Chemical Biology,Scientific Literature,29200207,2018,2,,14,2,112,117
170,"Yan, B., Ding, Z., Zhang, W., Cai, G., Han, H., Ma, Y., Cao, Y., Wang, J., Chen, S., & Ai, Y. (2022). Multiple PDE3A modulators act as molecular glues promoting PDE3A-SLFN12 interaction and induce SLFN12 dephosphorylation and cell death. Cell Chemical Biology, 29(6), 958–969.e5.",10.1016/j.chembiol.2022.01.006,,Multiple PDE3A modulators act as molecular glues promoting PDE3A-SLFN12 interaction and induce SLFN12 dephosphorylation and cell death.,Cell Chemical Biology,Scientific Literature,35104454,2022,6,16,29,6,958,969.e5
171,"Chen, J., Liu, H., Shen, H., Zhang, W., Zhao, D., & Zhu, W. (2024). Macrocycle compounds useful as KRAS inhibitors. WIPO (PCT). WO2024008834A1.",,https://patentimages.storage.googleapis.com/1b/11/a5/e82eadaca5e81e/WO2024008834A1.pdf,Macrocycle compounds useful as KRAS inhibitors.,,Patent,,2024,1,11,,,,
172,"Chen, J., Liu, H., Qiu, H., Shen, H., Yan, Z., Yang, B., Yao, X., Zhang, W., Zhao, D., & Zhu, W. (2023). Macrocyclic compounds for the treatment of cancer. WIPO (PCT). WO2023025832A1.",,https://patentimages.storage.googleapis.com/75/df/1d/c44c1519c38096/WO2023025832A1.pdf,Macrocyclic compounds for the treatment of cancer.,,Patent,,2023,3,2,,,,
173,"McAllister, L. A., Liardo, E., Ritzen, A., Oleinikovas, V., Cabré, X. L., Fasching, B., Bizzini, L. D., & Lesieur, M. (2024). Targeted degradation of vav1. WIPO (PCT). WO2024151547A1.",,https://patentimages.storage.googleapis.com/42/b3/82/b80a8df2da6888/WO2024151547A1.pdf,Targeted degradation of vav1.,,Patent,,2024,7,18,,,,
174,"Zhao, J., Zhou, F., Jiang, T., Lin, C., Liang, T., Ma, K., Peng, L., He, W., Zhang, L., Yan, F., Lan, J., & Lü, Q. (2024). Macrocyclic compounds, preparation method therefor, and use thereof. WIPO (PCT). WO2024153208A1.",,https://patentimages.storage.googleapis.com/78/54/eb/d0bcc3bb800568/WO2024153208A1.pdf,"Macrocyclic compounds, preparation method therefor, and use thereof.",,Patent,,2024,7,25,,,,
175,"Chen, J., Guo, L., Liu, H., Shen, H., Xi, J., Zhang, W., & Zhao, D. (2025). Tricyclic compounds for the treatment of cancer. WIPO (PCT). WO2024169914A1.",,https://patentimages.storage.googleapis.com/e9/86/a6/5834823b09f2ff/WO2024169914A1.pdf,Tricyclic compounds for the treatment of cancer.,,Patent,,2024,8,22,,,,
176,"Gray, N. S., Fischer, E., Yoon, H., Zhang, T., Faust, T., Donovan, K., & Cai, Q. (2019). Sulfonamide derivatives for protein degradation. WIPO (PCT). WO2019147783A1.",,https://patentimages.storage.googleapis.com/e0/ab/59/9b7cc141399cde/WO2019147783A1.pdf,Sulfonamide derivatives for protein degradation.,,Patent,,2019,8,1,,,,
177,"Zou, L., Yang, Z., Sun, Z., Su, H., Geng, C., & Dou, H. (2024). Compounds for modulating HuR (ELAVL1). WIPO (PCT). WO2024114639A1.",,https://patentimages.storage.googleapis.com/27/ca/ab/9009700b1667de/WO2024114639A1.pdf,Compounds for modulating HuR (ELAVL1).,,Patent,,2024,6,6,,,,
178,"Ritzén, A., Ryckmans, T., McAllister, L. A., Oleinikovas, V., Ranieri, B., Fasching, B., & Liardo, E. (2024). Compounds that mediate protein degradation and methods of use thereof. WIPO (PCT). WO2024092039A1.",,https://patentimages.storage.googleapis.com/e2/37/2b/80935b501a1ae9/WO2024092039A1.pdf,Compounds that mediate protein degradation and methods of use thereof.,,Patent,,2024,5,2,,,,
179,"Luo, Y., Cang, Y., Peng, B., Lei, M., Xu, Y., & Chen, S. (2021). Fused cyclic compound capable of degrading protein and use thereof. WIPO (PCT). WO2021047627A1.",,https://patentimages.storage.googleapis.com/fb/83/ba/7285c1dcfe1740/WO2021047627A1.pdf,Fused cyclic compound capable of degrading protein and use thereof.,,Patent,,2021,3,18,,,,
180,"Sapienza, J., Riggs, J. R., Edwards, J. T., Cashion, D. K., & Pierce, M. O. (2024). Wee1 degrading compounds and uses thereof. WIPO (PCT). WO2024006881A1.",,https://patentimages.storage.googleapis.com/ce/8b/a2/579a8b834c1889/WO2024006881A1.pdf,Wee1 degrading compounds and uses thereof.,,Patent,,2024,1,4,,,,
181,"Kumi, G. K., Purandare, A. V., Cherney, E. C., Balog, J. A., Penmetsa, S. B. V. K., Nair S. K., Shimpukade, B. D., & Kantheti, D. (2024). Substituted oxoisoindolinyl piperidine-2,6-dione compound as anticancer agent. WIPO (PCT). WO2024263853.",,https://patentimages.storage.googleapis.com/c5/f9/f5/b1b8b87c2a29d0/WO2024263853A1.pdf,"Substituted oxoisoindolinyl piperidine-2,6-dione compound as anticancer agent.",,Patent,,2024,12,26,,,,
182,"Kang, I., & Seo, S. O. (2024). Compounds targeting kras g12d mutations and their uses. WIPO (PCT). WO2024241248.",,https://patentimages.storage.googleapis.com/b3/07/a8/6af553db3f10f5/WO2024241248A1.pdf,Compounds targeting kras g12d mutations and their uses.,,Patent,,2024,11,28,,,,
183,"Yuan, L., Ma, X., Yang, Y., Qu, Y., Li, X., Zhu, X., Ma, W., Duan, J., Xue, J., Yang, H., et al. (2023). Phosphoantigens glue butyrophilin 3A1 and 2A1 to activate Vγ9Vδ2 T cells. Nature, 621(7980), 840–848.",10.1038/s41586-023-06525-3,,Phosphoantigens glue butyrophilin 3A1 and 2A1 to activate Vγ9Vδ2 T cells.,Nature,Scientific Literature,37674084,2023,9,,621,7980,840,848
184,"Konstantinidou, M., Visser, E. J., Vandenboorn, E., Chen, S., Jaishankar, P., Overmans, M., Dutta, S., Neitz, R. J., Renslo, A. R., Ottmann, C., et al. (2023). Structure-based optimization of covalent, small-molecule stabilizers of the 14-3-3σ/ERα protein-protein interaction from nonselective fragments. Journal of the American Chemical Society, 145(37), 20328–20343.",10.1021/jacs.3c05161,,"Structure-based optimization of covalent, small-molecule stabilizers of the 14-3-3σ/ERα protein-protein interaction from nonselective fragments.",Journal of the American Chemical Society,Scientific Literature,37676236,2023,9,20,145,37,20328,20343
