ID,name,Target,DOI,Patent number,Patent title,Efficacy Type,Model,Disease,Efficacy Data,Result,Units,Picture,Administration Time,Assay Method,Assay,Description
MG-3183,Cmp225,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3184,Cmp226,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3185,Cmp227,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3186,Cmp228,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<1000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3187,Cmp229,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<1000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3188,Cmp230,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3189,Cmp231,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3190,Cmp232,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,>100000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3191,Cmp233,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<100000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3192,Cmp234,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,>100000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3193,Cmp235,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3194,Cmp236,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3195,Cmp237,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<100000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
MG-3196,Cmp238,DCAF15,,"551,552",AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,Protein,,,IC50,<10000,nM,,1h,"HTRF competition assays (Cisbio, Bedford, MA)","Example 7: Measurement of binary interaction between compounds and DCAF15 using Homogeneous Time Resolved Fluorescence (HTRF)[0183] DCAF15 interactions with test compounds were monitored using HTRF competition assays (Cisbio, Bedford, MA). Test compounds were first collected in a 384-well microplate (cat. # 781280, Grenier Bio-One, Monroe, NC) as 10 mM stocks in 100% dimethyl sulfoxide (DMSO). A second stock plate (cat. #781280, Grenier Bio-One, Monroe, NC) was prepared through 3-fold serial dilution in DMSO of the afore-mentioned stocks using a Mosquito HTS dispenser (mosquito® HTS, SPT Labtech, Boston, MA).0.2 ul of these diluted stocks were then dispensed into a 384-well Optiplate (cat. # 6007290, Perkin Elmer, Waltham, MA) in duplicate wells, to assemble the assay plate. The tracer molecule containing an Alexa Fluor 647 probe was prepared in 25 mM HEPES pH 7.5, 100 mM NaCl, 0.1mg/ml BSA, 0.005% Tween 20, 0.5 mM TCEP (dilution buffer) to 612 nM (2.04x).Separately, His-tagged DCAF15 complex was prepared at 32 nM (4x) in the dilution buffer, and mAb Anti-6His-Eu cryptate Gold (cat. # 61H12KLA, Cisbio, Bedford, MA) at 4x dilution in the detection buffer (cat. #61DB9RDF, Cisbio, Bedford, MA). These two solutions were mixed and incubated for 15 min at room temperature.9.8 ul of the tracer solution and 10 ul of the DCAF15/mAb Anti-6His-Eu cryptate Gold mixture were added sequentially to each well in the assay plate. Reaction mixtures with no DCAF15 added were included as positive controls. The final mixture was incubated for an hour at room temperature and spun down briefly before data collection at 615 nm and 666 nm using EnVision 2104 Multilabel Plate Reader (Perkin Elmer, Bedford, MA). Binding was estimated based on ratiometric analysis and titration curves were generated in GraphPad Prism (7.00, GraphPad, La Jolla, CA). Results are summarized in Table 2.",
