Reference,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,Link,DOI
113,38826238,ZBTB11 Depletion Targets Metabolic Vulnerabilities in K-Ras Inhibitor Resistant PDAC,"Tran NL, Jiang J, Ma M, Gadbois GE, Gulay KCM, Verano A, Zhou H, Huang CT, Scott DA, Bang AG, Tiriac H, Lowy AM, Wang ES, Ferguson FM.",bioRxiv [Preprint]. 2024 May 21:2024.05.19.594824. doi: 10.1101/2024.05.19.594824.,Tran NL,bioRxiv,2024,2024-06-03,PMC11142081,https://doi.org/10.1101/2024.05.19.594824,10.1101/2024.05.19.594824
114,38830513,Cannabidiol mitigates radiation-induced intestine ferroptosis via facilitating the heterodimerization of RUNX3 with CBFβ thereby promoting transactivation of GPX4,"Huang C, Zhang L, Shen P, Wu Z, Li G, Huang Y, Ao T, Luo L, Hu C, Wang N, Quzhuo R, Tian L, Huangfu C, Liao Z, Gao Y.",Free Radic Biol Med. 2024 Sep;222:288-303. doi: 10.1016/j.freeradbiomed.2024.05.047. Epub 2024 Jun 1.,Huang C,Free Radic Biol Med,2024,2024-06-03,,https://doi.org/10.1016/j.freeradbiomed.2024.05.047,10.1016/j.freeradbiomed.2024.05.047
115,38864850,A PDE3A-SLFN12 Molecular Glue Exhibits Significant Antitumor Activity in TKI-Resistant Gastrointestinal Stromal Tumors,"Takaki EO, Kiyono K, Obuchi Y, Yamauchi T, Watanabe T, Matsumoto H, Karimine M, Kuniyoshi Y, Nishikori S, Yokoyama F, Nishimori H, Nabeshima H, Nakamura K.",Clin Cancer Res. 2024 Aug 15;30(16):3603-3621. doi: 10.1158/1078-0432.CCR-24-0096.,Takaki EO,Clin Cancer Res,2024,2024-06-12,PMC11325149,https://doi.org/10.1158/1078-0432.CCR-24-0096,10.1158/1078-0432.CCR-24-0096
116,38920289,"Discovery of KT-413, a Targeted Protein Degrader of IRAK4 and IMiD Substrates Targeting MYD88 Mutant Diffuse Large B-Cell Lymphoma","Weiss MM, Zheng X, Ji N, Browne CM, Campbell V, Chen D, Enerson B, Fei X, Huang X, Klaus CR, Li H, Mayo M, McDonald AA, Paul A, Rong H, Sharma K, Shi Y, Slavin A, Walther DM, Yuan K, Zhang Y, Zhu X, Kelleher J, Walker D, Mainolfi N.",J Med Chem. 2024 Jul 11;67(13):10548-10566. doi: 10.1021/acs.jmedchem.3c01823. Epub 2024 Jun 26.,Weiss MM,J Med Chem,2024,2024-06-26,,https://doi.org/10.1021/acs.jmedchem.3c01823,10.1021/acs.jmedchem.3c01823
117,38946324,Pan-RAF:MEK Molecular Glues Take Center Stage,"Hangauer MJ, Gutkind JS, Ferguson FM.",Cancer Discov. 2024 Jul 1;14(7):1143-1144. doi: 10.1158/2159-8290.CD-24-0539.,Hangauer MJ,Cancer Discov,2024,2024-07-01,,https://doi.org/10.1158/2159-8290.CD-24-0539,10.1158/2159-8290.CD-24-0539
118,38963839,A molecular glue degrader of the WIZ transcription factor for fetal hemoglobin induction,"Ting PY, Borikar S, Kerrigan JR, Thomsen NM, Aghania E, Hinman AE, Reyes A, Pizzato N, Fodor BD, Wu F, Belew MS, Mao X, Wang J, Chitnis S, Niu W, Hachey A, Cobb JS, Savage NA, Burke A, Paulk J, Dovala D, Lin J, Clifton MC, Ornelas E, Ma X, Ware NF, Sanchez CC, Taraszka J, Terranova R, Knehr J, Altorfer M, Barnes SW, Beckwith REJ, Solomon JM, Dales NA, Patterson AW, Wagner J, Bouwmeester T, Dranoff G, Stevenson SC, Bradner JE.",Science. 2024 Jul 5;385(6704):91-99. doi: 10.1126/science.adk6129. Epub 2024 Jul 4.,Ting PY,Science,2024,2024-07-04,,https://doi.org/10.1126/science.adk6129,10.1126/science.adk6129
119,39026748,Monovalent Pseudo-Natural Product Degraders Supercharge the Native Degradation of IDO1 by KLHDC3,"Hennes E, Lucas B, Scholes NS, Cheng XF, Scott DC, Bischoff M, Reich K, Gasper R, Lucas M, Xu TT, Pulvermacher LM, Dötsch L, Imrichova H, Brause A, Naredla KR, Sievers S, Kumar K, Janning P, Gersch M, Murray PJ, Schulman BA, Winter GE, Ziegler S, Waldmann H.",bioRxiv [Preprint]. 2024 Jul 13:2024.07.10.602857. doi: 10.1101/2024.07.10.602857.,Hennes E,bioRxiv,2024,2024-07-19,PMC11257573,https://doi.org/10.1101/2024.07.10.602857,10.1101/2024.07.10.602857
120,39071058,DCAF16-Based Covalent Handle for the Rational Design of Monovalent Degraders,"Lim M, Cong TD, Orr LM, Toriki ES, Kile AC, Papatzimas JW, Lee E, Lin Y, Nomura DK.",ACS Cent Sci. 2024 May 17;10(7):1318-1331. doi: 10.1021/acscentsci.4c00286. eCollection 2024 Jul 24.,Lim M,ACS Cent Sci,2024,2024-07-29,PMC11273451,https://doi.org/10.1021/acscentsci.4c00286,10.1021/acscentsci.4c00286
121,39075252,Template-assisted covalent modification underlies activity of covalent molecular glues,"Li YD, Ma MW, Hassan MM, Hunkeler M, Teng M, Puvar K, Rutter JC, Lumpkin RJ, Sandoval B, Jin CY, Schmoker AM, Ficarro SB, Cheong H, Metivier RJ, Wang MY, Xu S, Byun WS, Groendyke BJ, You I, Sigua LH, Tavares I, Zou C, Tsai JM, Park PMC, Yoon H, Majewski FC, Sperling HT, Marto JA, Qi J, Nowak RP, Donovan KA, Słabicki M, Gray NS, Fischer ES, Ebert BL.",Nat Chem Biol. 2024 Jul 29. doi: 10.1038/s41589-024-01668-4. Online ahead of print.,Li YD,Nat Chem Biol,2024,2024-07-29,,https://doi.org/10.1038/s41589-024-01668-4,10.1038/s41589-024-01668-4
122,39090085,Dual-site molecular glues for enhancing protein-protein interactions of the CDK12-DDB1 complex,"Zhang Z, Li Y, Yang J, Li J, Lin X, Liu T, Yang S, Lin J, Xue S, Yu J, Tang C, Li Z, Liu L, Ye Z, Deng Y, Li Z, Chen K, Ding H, Luo C, Lin H.",Nat Commun. 2024 Aug 1;15(1):6477. doi: 10.1038/s41467-024-50642-0.,Zhang Z,Nat Commun,2024,2024-08-01,PMC11294606,https://doi.org/10.1038/s41467-024-50642-0,10.1038/s41467-024-50642-0
123,39111082,Schisandrol B inhibits calcification of aortic valve by targeting p53 related inflammatory and senescence,"Liu X, Wang K, Zheng Q, Liu X, Yang Y, Xie C, Yao D, Jiang C, Liu Z, Li H, Shi J, Dong N.",Biomed Pharmacother. 2024 Sep;178:117241. doi: 10.1016/j.biopha.2024.117241. Epub 2024 Aug 6.,Liu X,Biomed Pharmacother,2024,2024-08-07,,https://doi.org/10.1016/j.biopha.2024.117241,10.1016/j.biopha.2024.117241
124,39166256,Velcrin molecular glues induce apoptosis in glioblastomas with high PDE3A and SLFN12 expression,"Aquilanti E, Goldoni S, Baker A, Kotynkova K, Andersen S, Bozinov V, Gao GF, Cherniack AD, Lange M, Lesche R, Kopitz C, Lienau P, Lewis TA, Garrido M, Gradl S, Seidel H, Tseng YY, Ligon KL, Wen PY, Meyerson M, Greulich H.",Neurooncol Adv. 2024 Jul 1;6(1):vdae115. doi: 10.1093/noajnl/vdae115. eCollection 2024 Jan-Dec.,Aquilanti E,Neurooncol Adv,2024,2024-08-21,PMC11333922,https://doi.org/10.1093/noajnl/vdae115,10.1093/noajnl/vdae115
125,39194017,Identification and Characterization of Novel Small-Molecule Enhancers of the CUL3(LZTR1) E3 Ligase KRAS Complex,"Piech S, Brüschweiler S, Westphalen J, Siess KM, García Murias J, Konrat R, Bigenzahn JW, Superti-Furga G.",ACS Chem Biol. 2024 Sep 20;19(9):1942-1952. doi: 10.1021/acschembio.4c00077. Epub 2024 Aug 28.,Piech S,ACS Chem Biol,2024,2024-08-28,PMC11420953,https://doi.org/10.1021/acschembio.4c00077,10.1021/acschembio.4c00077
126,39196545,Targeted Protein Localization by Covalent 14-3-3 Recruitment,"Shao Q, Duong TN, Park I, Orr LM, Nomura DK.",J Am Chem Soc. 2024 Sep 11;146(36):24788-24799. doi: 10.1021/jacs.3c12389. Epub 2024 Aug 28.,Shao Q,J Am Chem Soc,2024,2024-08-28,,https://doi.org/10.1021/jacs.3c12389,10.1021/jacs.3c12389
127,39218923,Novel potent molecular glue degraders against broad range of hematological cancer cell lines via multiple neosubstrates degradation,"Li P, Hu X, Fan Z, Sun S, Ran Q, Wei T, Wei P, Jiang Q, Yan J, Yang N, Jia C, Yang T, Mao Y, Cai X, Xu T, Zhao Z, Qian X, Qin W, Zhuang X, Fan F, Xiao J, Zheng Z, Li S.",J Hematol Oncol. 2024 Sep 2;17(1):77. doi: 10.1186/s13045-024-01592-z.,Li P,J Hematol Oncol,2024,2024-09-01,PMC11367868,https://doi.org/10.1186/s13045-024-01592-z,10.1186/s13045-024-01592-z
128,39300082,Activation of parkin by a molecular glue,"Sauvé V, Stefan E, Croteau N, Goiran T, Fakih R, Bansal N, Hadzipasic A, Fang J, Murugan P, Chen S, Fon EA, Hirst WD, Silvian LF, Trempe JF, Gehring K.",Nat Commun. 2024 Sep 19;15(1):7707. doi: 10.1038/s41467-024-51889-3.,Sauvé V,Nat Commun,2024,2024-09-19,PMC11412986,https://doi.org/10.1038/s41467-024-51889-3,10.1038/s41467-024-51889-3
129,39309493,Molecular glue triggers degradation of PHGDH by enhancing the interaction between DDB1 and PHGDH,"Huang Z, Zhang K, Jiang Y, Wang M, Li M, Guo Y, Gao R, Li N, Wang C, Chen J, Wang J, Liu N, Liu X, Liu S, Wei M, Yang C, Yang G.",Acta Pharm Sin B. 2024 Sep;14(9):4001-4013. doi: 10.1016/j.apsb.2024.06.001. Epub 2024 Jun 6.,Huang Z,Acta Pharm Sin B,2024,2024-09-23,PMC11413658,https://doi.org/10.1016/j.apsb.2024.06.001,10.1016/j.apsb.2024.06.001
130,39314457,Unveiling the hidden interactome of CRBN molecular glues with chemoproteomics,"Baek K, Metivier RJ, Roy Burman SS, Bushman JW, Lumpkin RJ, Abeja DM, Lakshminarayan M, Yue H, Ojeda S, Verano AL, Gray NS, Donovan KA, Fischer ES.",bioRxiv [Preprint]. 2024 Sep 15:2024.09.11.612438. doi: 10.1101/2024.09.11.612438.,Baek K,bioRxiv,2024,2024-09-24,PMC11419069,https://doi.org/10.1101/2024.09.11.612438,10.1101/2024.09.11.612438
131,39324213,Development of a molecular glue-based Lin28 degrader to regulate cellular proliferation and stemness,"Lee M, Byun WG, Son S, Park SB.",Chem Commun (Camb). 2024 Sep 26. doi: 10.1039/d4cc03614j. Online ahead of print.,Lee M,Chem Commun (Camb),2024,2024-09-26,,https://doi.org/10.1039/d4cc03614j,10.1039/d4cc03614j
132,39244972,FL118: A potential bladder cancer therapeutic compound targeting H2A.X identified through library screening,"Fan G, Luo X, Shi Y, Wang Y, Ji L, Gong Y, Yang E, Chen C, Cui S, Ding H, Zhang Z, Wang J, Liu Y, Wang Z.",Bioorg Chem. 2024 Sep 5;153:107802. doi: 10.1016/j.bioorg.2024.107802. Online ahead of print.,Fan G,Bioorg Chem,2024,2024-09-08,,https://doi.org/10.1016/j.bioorg.2024.107802,10.1016/j.bioorg.2024.107802
133,39044280,Targeting RBM39 through indisulam induced mis-splicing of mRNA to exert anti-cancer effects in T-cell acute lymphoblastic leukemia,"Ji T, Yang Y, Yu J, Yin H, Chu X, Yang P, Xu L, Wang X, Hu S, Li Y, Wu X, Liu W, Zhou B, Wang W, Zhang S, Cheng W, Chen Y, Shi L, Li Z, Zhuo R, Zhang Y, Tao Y, Wu D, Li X, Zhang Z, Fan JJ, Pan J, Lu J.",J Exp Clin Cancer Res. 2024 Jul 24;43(1):205. doi: 10.1186/s13046-024-03130-8.,Ji T,J Exp Clin Cancer Res,2024,2024-07-23,PMC11267830,https://doi.org/10.1186/s13046-024-03130-8,10.1186/s13046-024-03130-8
134,37968329,M. mazei glutamine synthetase and glutamine synthetase-GlnK1 structures reveal enzyme regulation by oligomer modulation,"Schumacher MA, Salinas R, Travis BA, Singh RR, Lent N.",Nat Commun. 2023 Nov 15;14(1):7375. doi: 10.1038/s41467-023-43243-w.,Schumacher MA,Nat Commun,2023,2023-11-15,PMC10651883,https://doi.org/10.1038/s41467-023-43243-w,10.1038/s41467-023-43243-w
135,11250156,Intermolecular DNA interactions stimulated by the cohesin complex in vitro: implications for sister chromatid cohesion,"Losada A, Hirano T.",Curr Biol. 2001 Feb 20;11(4):268-72. doi: 10.1016/s0960-9822(01)00066-5.,Losada A,Curr Biol,2001,2001-03-16,,https://doi.org/10.1016/s0960-9822(01)00066-5,10.1016/s0960-9822(01)00066-5
136,19250831,The effect of linker length on binding affinity of a photoswitchable molecular glue for DNA,"Dohno C, Uno SN, Sakai S, Oku M, Nakatani K.",Bioorg Med Chem. 2009 Mar 15;17(6):2536-43. doi: 10.1016/j.bmc.2009.01.053. Epub 2009 Jan 30.,Dohno C,Bioorg Med Chem,2009,2009-03-03,,https://doi.org/10.1016/j.bmc.2009.01.053,10.1016/j.bmc.2009.01.053
137,23643786,Localization of the regulatory particle subunit Sem1 in the 26S proteasome,"Bohn S, Sakata E, Beck F, Pathare GR, Schnitger J, Nágy I, Baumeister W, Förster F.",Biochem Biophys Res Commun. 2013 May 31;435(2):250-4. doi: 10.1016/j.bbrc.2013.04.069. Epub 2013 May 1.,Bohn S,Biochem Biophys Res Commun,2013,2013-05-07,,https://doi.org/10.1016/j.bbrc.2013.04.069,10.1016/j.bbrc.2013.04.069
138,23657259,Psl trails guide exploration and microcolony formation in Pseudomonas aeruginosa biofilms,"Zhao K, Tseng BS, Beckerman B, Jin F, Gibiansky ML, Harrison JJ, Luijten E, Parsek MR, Wong GCL.",Nature. 2013 May 16;497(7449):388-391. doi: 10.1038/nature12155. Epub 2013 May 8.,Zhao K,Nature,2013,2013-05-10,PMC4109411,https://doi.org/10.1038/nature12155,10.1038/nature12155
139,26212329,Structural Studies Reveal the Functional Modularity of the Scc2-Scc4 Cohesin Loader,"Chao WC, Murayama Y, Muñoz S, Costa A, Uhlmann F, Singleton MR.",Cell Rep. 2015 Aug 4;12(5):719-25. doi: 10.1016/j.celrep.2015.06.071. Epub 2015 Jul 23.,Chao WC,Cell Rep,2015,2015-07-28,,https://doi.org/10.1016/j.celrep.2015.06.071,10.1016/j.celrep.2015.06.071
140,28106332,Copper(II)-Controlled Molecular Glue for Mismatched DNA,"Kotera N, Guillot R, Teulade-Fichou MP, Granzhan A.",Chembiochem. 2017 Apr 4;18(7):618-622. doi: 10.1002/cbic.201600675. Epub 2017 Feb 20.,Kotera N,Chembiochem,2017,2017-01-21,,https://doi.org/10.1002/cbic.201600675,10.1002/cbic.201600675
141,29143424,Restoration of Ribozyme Tertiary Contact and Function by Using a Molecular Glue for RNA,"Dohno C, Kimura M, Nakatani K.",Angew Chem Int Ed Engl. 2018 Jan 8;57(2):506-510. doi: 10.1002/anie.201709041. Epub 2017 Dec 7.,Dohno C,Angew Chem Int Ed Engl,2018,2017-11-17,,https://doi.org/10.1002/anie.201709041,10.1002/anie.201709041
142,22692698,Porphyrin-DNA conjugates: porphyrin induced adenine-guanine homoduplex stabilization and interduplex assemblies,"Sargsyan G, Balaz M.",Org Biomol Chem. 2012 Aug 7;10(29):5533-40. doi: 10.1039/c2ob25710f. Epub 2012 Jun 12.,Sargsyan G,Org Biomol Chem,2012,2012-06-14,,https://doi.org/10.1039/c2ob25710f,10.1039/c2ob25710f
143,22632968,LINC complexes form by binding of three KASH peptides to domain interfaces of trimeric SUN proteins,"Sosa BA, Rothballer A, Kutay U, Schwartz TU.",Cell. 2012 May 25;149(5):1035-47. doi: 10.1016/j.cell.2012.03.046.,Sosa BA,Cell,2012,2012-05-29,PMC3383001,https://doi.org/10.1016/j.cell.2012.03.046,10.1016/j.cell.2012.03.046
144,32104826,Intracellular delivery of a peptide nucleic acid-based hybrid of an autophagy inducing peptide with a cell-penetrating peptide,"Hakata Y, Ishikawa S, Ohtsuki T, Miyazawa M, Kitamatsu M.",Org Biomol Chem. 2020 Mar 11;18(10):1978-1986. doi: 10.1039/c9ob02559f.,Hakata Y,Org Biomol Chem,2020,2020-02-28,,https://doi.org/10.1039/c9ob02559f,10.1039/c9ob02559f
145,32119776,Rational Design of Small Molecules to Enhance Genome Editing Efficiency by Selectively Targeting Distinct Functional States of CRISPR-Cas12a,"Li W, Chan C, Zeng C, Turk R, Behlke MA, Cheng X, Dong Y.",Bioconjug Chem. 2020 Mar 18;31(3):542-546. doi: 10.1021/acs.bioconjchem.0c00062. Epub 2020 Mar 6.,Li W,Bioconjug Chem,2020,2020-03-03,PMC8192075,https://doi.org/10.1021/acs.bioconjchem.0c00062,10.1021/acs.bioconjchem.0c00062
146,32275408,Intracellular Photoactivation of Caspase-3 by Molecular Glues for Spatiotemporal Apoptosis Induction,"Hentzen NB, Mogaki R, Otake S, Okuro K, Aida T.",J Am Chem Soc. 2020 May 6;142(18):8080-8084. doi: 10.1021/jacs.0c01823. Epub 2020 Apr 14.,Hentzen NB,J Am Chem Soc,2020,2020-04-11,,https://doi.org/10.1021/jacs.0c01823,10.1021/jacs.0c01823
147,33206450,Activation of Aptamers with Gain of Function by Small-Molecule-Clipping of Intramolecular Motifs,"Huang M, Li T, Xu Y, Wei X, Song J, Lin B, Zhu Z, Song Y, Yang C.",Angew Chem Int Ed Engl. 2021 Mar 8;60(11):6021-6028. doi: 10.1002/anie.202013570. Epub 2021 Jan 27.,Huang M,Angew Chem Int Ed Engl,2021,2020-11-18,,https://doi.org/10.1002/anie.202013570,10.1002/anie.202013570
148,33442714,Non-genetic cell-surface modification with a self-assembling molecular glue,"Hakariya H, Takashima I, Takemoto M, Noda N, Sato SI, Uesugi M.",Chem Commun (Camb). 2021 Feb 15;57(12):1470-1473. doi: 10.1039/d0cc07171d.,Hakariya H,Chem Commun (Camb),2021,2021-01-14,,https://doi.org/10.1039/d0cc07171d,10.1039/d0cc07171d
149,33617988,SUMOylation of mitofusins: A potential mechanism for perinuclear mitochondrial congression in cells treated with mitochondrial stressors,"Kim C, Juncker M, Reed R, Haas A, Guidry J, Matunis M, Yang WC, Schwartzenburg J, Desai S.",Biochim Biophys Acta Mol Basis Dis. 2021 Jun 1;1867(6):166104. doi: 10.1016/j.bbadis.2021.166104. Epub 2021 Feb 19.,Kim C,Biochim Biophys Acta Mol Basis Dis,2021,2021-02-22,PMC8261867,https://doi.org/10.1016/j.bbadis.2021.166104,10.1016/j.bbadis.2021.166104
150,33713701,The DNA-binding protein HU is a molecular glue that attaches bacteria to extracellular DNA in biofilms,"Thakur B, Arora K, Gupta A, Guptasarma P.",J Biol Chem. 2021 Jan-Jun;296:100532. doi: 10.1016/j.jbc.2021.100532. Epub 2021 Mar 11.,Thakur B,J Biol Chem,2021,2021-03-13,PMC8063757,https://doi.org/10.1016/j.jbc.2021.100532,10.1016/j.jbc.2021.100532
151,21633979,Molecular-glue-triggered DNA assembly to form a robust and photoresponsive nano-network,"Wang C, Pu F, Lin Y, Ren J, Dohn C, Nakatani K, Qu X.",Chemistry. 2011 Jul 11;17(29):8189-94. doi: 10.1002/chem.201100194. Epub 2011 Jun 1.,Wang C,Chemistry,2011,2011-06-03,,https://doi.org/10.1002/chem.201100194,10.1002/chem.201100194
152,31819272,Structural basis of indisulam-mediated RBM39 recruitment to DCAF15 E3 ligase complex,"Bussiere DE, Xie L, Srinivas H, Shu W, Burke A, Be C, Zhao J, Godbole A, King D, Karki RG, Hornak V, Xu F, Cobb J, Carte N, Frank AO, Frommlet A, Graff P, Knapp M, Fazal A, Okram B, Jiang S, Michellys PY, Beckwith R, Voshol H, Wiesmann C, Solomon JM, Paulk J.",Nat Chem Biol. 2020 Jan;16(1):15-23. doi: 10.1038/s41589-019-0411-6. Epub 2019 Dec 9.,Bussiere DE,Nat Chem Biol,2020,2019-12-11,,,10.1038/s41589-019-0411-6
153,34424707,Photoreactive Molecular Glue for Enhancing the Efficacy of DNA Aptamers by Temporary-to-Permanent Conjugation with Target Proteins,"Kohata A, Ueki R, Okuro K, Hashim PK, Sando S, Aida T.",J Am Chem Soc. 2021 Sep 1;143(34):13937-13943. doi: 10.1021/jacs.1c06816. Epub 2021 Aug 23.,Kohata A,J Am Chem Soc,2021,2021-08-23,,https://doi.org/10.1021/jacs.1c06816,10.1021/jacs.1c06816
154,34740723,Barnase*Barstar-guided two-step targeting approach for drug delivery to tumor cells in vivo,"Shramova EI, Shilova MV, Ryabova AV, Dzhalilova DS, Zolotova NA, Telegin GB, Deyev SM, Proshkina GM.",J Control Release. 2021 Dec 10;340:200-208. doi: 10.1016/j.jconrel.2021.11.001. Epub 2021 Nov 2.,Shramova EI,J Control Release,2021,2021-11-06,,https://doi.org/10.1016/j.jconrel.2021.11.001,10.1016/j.jconrel.2021.11.001
155,35298895,Resolving the deceptive isoform and complex selectivity of HDAC1/2 inhibitors,"Payne NC, Mazitschek R.",Cell Chem Biol. 2022 Jul 21;29(7):1140-1152.e5. doi: 10.1016/j.chembiol.2022.03.002. Epub 2022 Mar 16.,Payne NC,Cell Chem Biol,2022,2022-03-17,,https://doi.org/10.1016/j.chembiol.2022.03.002,10.1016/j.chembiol.2022.03.002
156,35621186,N(6)-methyladenosine-modified RNA acts as a molecular glue that drives liquid-liquid phase separation in plants,"Lee HG, Kim J, Seo PJ.",Plant Signal Behav. 2022 Dec 31;17(1):2079308. doi: 10.1080/15592324.2022.2079308.,Lee HG,Plant Signal Behav,2022,2022-05-27,PMC9154792,https://doi.org/10.1080/15592324.2022.2079308,10.1080/15592324.2022.2079308
157,35879546,O-GlcNAcylation promotes pancreatic tumor growth by regulating malate dehydrogenase 1,"Zhu Q, Zhou H, Wu L, Lai Z, Geng D, Yang W, Zhang J, Fan Z, Qin W, Wang Y, Zhou R, Yi W.",Nat Chem Biol. 2022 Oct;18(10):1087-1095. doi: 10.1038/s41589-022-01085-5. Epub 2022 Jul 25.,Zhu Q,Nat Chem Biol,2022,2022-07-25,,https://doi.org/10.1038/s41589-022-01085-5,10.1038/s41589-022-01085-5
158,36602777,E3-Specific Degrader Discovery by Dynamic Tracing of Substrate Receptor Abundance,"Hanzl A, Barone E, Bauer S, Yue H, Nowak RP, Hahn E, Pankevich EV, Koren A, Kubicek S, Fischer ES, Winter GE.",J Am Chem Soc. 2023 Jan 18;145(2):1176-1184. doi: 10.1021/jacs.2c10784. Epub 2023 Jan 5.,Hanzl A,J Am Chem Soc,2023,2023-01-05,PMC9853857,https://doi.org/10.1021/jacs.2c10784,10.1021/jacs.2c10784
159,37282607,The high-light-induced protein SliP4 binds to NDH1 and photosystems facilitating cyclic electron transport and state transition in Synechocystis sp. PCC 6803,"Alvarenga-Lucius L, Linhartová M, Schubert H, Maaß S, Becher D, Hess WR, Sobotka R, Hagemann M.",New Phytol. 2023 Aug;239(3):1083-1097. doi: 10.1111/nph.18987. Epub 2023 Jun 6.,Alvarenga-Lucius L,New Phytol,2023,2023-06-07,,https://doi.org/10.1111/nph.18987,10.1111/nph.18987
160,37615580,Photoswitchable molecular glue for RNA: reversible photocontrol of structure and function of the ribozyme,"Dohno C, Kimura M, Fujiwara Y, Nakatani K.",Nucleic Acids Res. 2023 Oct 13;51(18):9533-9541. doi: 10.1093/nar/gkad690.,Dohno C,Nucleic Acids Res,2023,2023-08-24,PMC10570050,https://doi.org/10.1093/nar/gkad690,10.1093/nar/gkad690
161,37674084,Phosphoantigens glue butyrophilin 3A1 and 2A1 to activate Vγ9Vδ2 T cells,"Yuan L, Ma X, Yang Y, Qu Y, Li X, Zhu X, Ma W, Duan J, Xue J, Yang H, Huang JW, Yi S, Zhang M, Cai N, Zhang L, Ding Q, Lai K, Liu C, Zhang L, Liu X, Yao Y, Zhou S, Li X, Shen P, Chang Q, Malwal SR, He Y, Li W, Chen C, Chen CC, Oldfield E, Guo RT, Zhang Y.",Nature. 2023 Sep;621(7980):840-848. doi: 10.1038/s41586-023-06525-3. Epub 2023 Sep 6.,Yuan L,Nature,2023,2023-09-06,PMC10533412,https://doi.org/10.1038/s41586-023-06525-3,10.1038/s41586-023-06525-3
162,37724862,Evolution of the T4 phage virion is driven by selection pressure from non-bacterial factors,"Majewska J, Miernikiewicz P, Szymczak A, Kaźmierczak Z, Goszczyński TM, Owczarek B, Rybicka I, Ciekot J, Dąbrowska K.",Microbiol Spectr. 2023 Sep 19;11(5):e0011523. doi: 10.1128/spectrum.00115-23. Online ahead of print.,Majewska J,Microbiol Spectr,2023,2023-09-19,PMC10580926,https://doi.org/10.1128/spectrum.00115-23,10.1128/spectrum.00115-23
